Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Type,Maturity,index
TSLA231208C00020000,2023-12-07 3:54PM EST,20.0,222.6,223.8,224.05,0.0,-,46.0,56,"1,881.25%",Call,2023-12-08,0
TSLA231208C00030000,2023-12-08 10:44AM EST,30.0,212.8,213.85,214.1,2.7,+1.29%,44.0,62,"1,393.75%",Call,2023-12-08,1
TSLA231208C00080000,2023-12-07 3:17PM EST,80.0,161.45,163.65,164.35,0.0,-,6.0,6,787.50%,Call,2023-12-08,4
TSLA231208C00100000,2023-12-07 3:16PM EST,100.0,141.45,143.5,144.1,0.0,-,10.0,6,712.50%,Call,2023-12-08,6
TSLA231208C00105000,2023-12-07 3:17PM EST,105.0,136.45,138.75,139.3,0.0,-,6.0,15,628.13%,Call,2023-12-08,7
TSLA231208C00110000,2023-12-07 3:31PM EST,110.0,132.05,133.7,134.3,0.0,-,31.0,46,573.44%,Call,2023-12-08,8
TSLA231208C00115000,2023-12-07 11:59AM EST,115.0,127.33,128.8,129.35,0.0,-,22.0,4,595.31%,Call,2023-12-08,9
TSLA231208C00125000,2023-12-07 3:16PM EST,125.0,116.45,118.7,119.1,0.0,-,17.0,4,545.31%,Call,2023-12-08,11
TSLA231208C00130000,2023-12-07 3:31PM EST,130.0,112.0,113.65,114.3,0.0,-,31.0,38,434.38%,Call,2023-12-08,12
TSLA231208C00140000,2023-12-08 9:31AM EST,140.0,99.73,103.65,104.3,-2.62,-2.56%,147.0,161,387.50%,Call,2023-12-08,14
TSLA231208C00145000,2023-12-08 10:54AM EST,145.0,99.09,98.65,99.3,1.29,+1.32%,6.0,13,365.63%,Call,2023-12-08,15
TSLA231208C00150000,2023-12-08 9:57AM EST,150.0,91.75,93.6,94.1,0.32,+0.35%,4.0,21,408.59%,Call,2023-12-08,16
TSLA231208C00155000,2023-12-08 10:34AM EST,155.0,88.67,88.6,89.25,-1.83,-2.02%,9.0,51,421.09%,Call,2023-12-08,17
TSLA231208C00165000,2023-12-08 10:37AM EST,165.0,78.3,78.65,79.35,5.48,+7.53%,124.0,209,296.88%,Call,2023-12-08,19
TSLA231208C00180000,2023-12-08 10:50AM EST,180.0,63.73,63.6,64.1,1.73,+2.79%,20.0,691,268.75%,Call,2023-12-08,22
TSLA231208C00185000,2023-12-08 10:08AM EST,185.0,58.83,58.8,59.35,0.63,+1.08%,29.0,85,241.41%,Call,2023-12-08,24
TSLA231208C00190000,2023-12-08 10:22AM EST,190.0,54.0,53.8,54.5,3.13,+6.15%,23.0,136,235.55%,Call,2023-12-08,26
TSLA231208C00195000,2023-12-07 12:05PM EST,195.0,47.74,48.6,49.4,0.0,-,19.0,219,179.69%,Call,2023-12-08,28
TSLA231208C00200000,2023-12-08 10:46AM EST,200.0,43.5,43.6,44.05,1.0,+2.35%,88.0,557,175.39%,Call,2023-12-08,30
TSLA231208C00202500,2023-12-08 10:45AM EST,202.5,40.52,41.25,41.8,-0.05,-0.12%,78.0,106,160.16%,Call,2023-12-08,31
TSLA231208C00205000,2023-12-08 10:22AM EST,205.0,39.47,38.55,39.1,2.6,+7.05%,27.0,389,165.23%,Call,2023-12-08,32
TSLA231208C00210000,2023-12-08 10:35AM EST,210.0,33.55,33.55,34.25,0.9,+2.76%,51.0,865,163.28%,Call,2023-12-08,34
TSLA231208C00212500,2023-12-08 10:02AM EST,212.5,30.56,30.95,31.55,1.29,+4.41%,7.0,55,127.93%,Call,2023-12-08,35
TSLA231208C00215000,2023-12-08 10:33AM EST,215.0,29.35,28.55,29.1,2.45,+9.11%,25.0,1308,125.98%,Call,2023-12-08,36
TSLA231208C00220000,2023-12-08 10:43AM EST,220.0,22.89,23.8,24.25,0.24,+1.06%,481.0,2515,96.09%,Call,2023-12-08,38
TSLA231208C00222500,2023-12-08 10:07AM EST,222.5,21.37,21.3,21.8,1.26,+6.27%,4.0,666,90.63%,Call,2023-12-08,39
TSLA231208C00225000,2023-12-08 10:26AM EST,225.0,19.18,18.8,19.3,1.66,+9.47%,528.0,1950,81.25%,Call,2023-12-08,40
TSLA231208C00227500,2023-12-08 10:50AM EST,227.5,16.1,16.3,16.65,1.01,+6.69%,81.0,637,60.16%,Call,2023-12-08,41
TSLA231208C00230000,2023-12-08 10:49AM EST,230.0,13.64,13.9,14.0,0.81,+6.31%,456.0,5675,56.25%,Call,2023-12-08,42
TSLA231208C00232500,2023-12-08 10:54AM EST,232.5,11.58,11.5,11.7,1.1,+10.50%,422.0,4583,56.84%,Call,2023-12-08,43
