Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Type,Maturity,index
SONY231208C00081000,2023-12-05 12:16PM EST,81.0,5.36,8.3,8.6,0.0,-,2.0,3,120.31%,Call,2023-12-08,2
SONY231208C00082000,2023-11-24 9:34AM EST,82.0,4.8,7.3,7.6,0.0,-,1.0,1,108.20%,Call,2023-12-08,3
SONY231208C00083000,2023-12-01 10:07AM EST,83.0,3.2,6.3,6.6,0.0,-,2.0,5,96.09%,Call,2023-12-08,4
SONY231208C00084000,2023-12-05 9:46AM EST,84.0,2.4,5.3,5.6,0.0,-,1.0,4,83.79%,Call,2023-12-08,5
SONY231208C00085000,2023-12-06 9:52AM EST,85.0,4.5,4.3,4.6,0.0,-,2.0,10,71.29%,Call,2023-12-08,6
SONY231208C00086000,2023-12-06 3:21PM EST,86.0,2.75,3.3,3.6,0.0,-,7.0,30,58.40%,Call,2023-12-08,7
SONY231208C00087000,2023-12-07 3:37PM EST,87.0,2.35,2.25,2.5,0.75,+46.87%,15.0,209,49.81%,Call,2023-12-08,8
SONY231208C00088000,2023-12-08 10:52AM EST,88.0,1.35,1.35,1.55,0.8,+145.45%,4.0,127,38.48%,Call,2023-12-08,9
SONY231208C00089000,2023-12-08 10:53AM EST,89.0,0.5,0.4,0.55,0.2,+66.67%,20.0,129,20.12%,Call,2023-12-08,10
SONY231208C00090000,2023-12-08 10:10AM EST,90.0,0.05,0.0,0.1,-0.04,-44.44%,2.0,243,18.16%,Call,2023-12-08,11
SONY231208C00091000,2023-12-06 12:16PM EST,91.0,0.15,0.0,0.1,0.0,-,55.0,51,32.03%,Call,2023-12-08,12
SONY231208C00092000,2023-12-06 3:40PM EST,92.0,0.06,0.0,0.1,0.0,-,62.0,122,44.34%,Call,2023-12-08,13
SONY231208C00093000,2023-11-24 10:46AM EST,93.0,0.06,0.0,0.1,0.0,-,1.0,1,55.66%,Call,2023-12-08,14
SONY231208C00100000,2023-11-07 2:33PM EST,100.0,0.13,0.0,0.05,0.0,-,3.0,3,98.44%,Call,2023-12-08,17
SONY231208C00105000,2023-11-24 10:45AM EST,105.0,0.05,0.0,0.1,0.0,-,1.0,1,148.44%,Call,2023-12-08,18
SONY231208P00076000,2023-12-04 10:42AM EST,76.0,0.05,0.0,0.05,0.0,-,1.0,6,137.50%,Put,2023-12-08,20
SONY231208P00078000,2023-12-01 9:39AM EST,78.0,0.1,0.0,0.05,0.0,-,100.0,96,117.19%,Put,2023-12-08,22
SONY231208P00081000,2023-12-05 9:43AM EST,81.0,0.05,0.0,0.05,0.0,-,2.0,1,89.06%,Put,2023-12-08,24
SONY231208P00082000,2023-12-05 9:39AM EST,82.0,0.05,0.0,0.05,0.0,-,2.0,4,78.91%,Put,2023-12-08,25
SONY231208P00083000,2023-12-05 10:34AM EST,83.0,0.07,0.0,0.05,0.0,-,2.0,13,69.53%,Put,2023-12-08,26
SONY231208P00084000,2023-12-05 1:48PM EST,84.0,0.11,0.0,0.05,0.0,-,2.0,4,59.38%,Put,2023-12-08,27
SONY231208P00085000,2023-12-06 10:48AM EST,85.0,0.07,0.0,0.1,0.0,-,2.0,43,56.25%,Put,2023-12-08,28
SONY231208P00086000,2023-12-07 9:51AM EST,86.0,0.06,0.0,0.1,0.0,-,109.0,241,53.52%,Put,2023-12-08,29
SONY231208P00087000,2023-12-07 12:47PM EST,87.0,0.1,0.0,0.05,0.0,-,183.0,235,34.18%,Put,2023-12-08,30
SONY231208P00088000,2023-12-08 9:46AM EST,88.0,0.05,0.0,0.05,-0.24,-82.76%,12.0,47,22.27%,Put,2023-12-08,31
SONY231208P00089000,2023-12-07 1:27PM EST,89.0,1.0,0.05,0.15,0.0,-,1.0,11,14.94%,Put,2023-12-08,32
SONY231208P00090000,2023-12-06 1:41PM EST,90.0,1.2,0.6,0.7,0.0,-,9.0,11,9.38%,Put,2023-12-08,33
SONY231215C00070000,2023-12-07 9:30AM EST,70.0,18.16,19.4,19.8,0.0,-,1.0,3,103.71%,Call,2023-12-15,34
SONY231215C00071000,2023-12-01 12:21PM EST,71.0,15.1,18.4,18.7,0.0,-,1.0,1,94.92%,Call,2023-12-15,35
SONY231215C00075000,2023-11-24 9:58AM EST,75.0,11.55,14.4,14.6,0.0,-,1.0,1,72.36%,Call,2023-12-15,36
SONY231215C00080000,2023-11-14 10:14AM EST,80.0,5.8,9.4,9.7,0.0,-,1.0,41,52.93%,Call,2023-12-15,37
SONY231215C00081000,2023-12-07 9:42AM EST,81.0,7.0,8.4,8.6,0.0,-,1.0,1,50.68%,Call,2023-12-15,38
SONY231215C00084000,2023-12-05 9:32AM EST,84.0,2.6,5.4,5.6,0.0,-,2.0,14,36.13%,Call,2023-12-15,39
SONY231215C00085000,2023-12-08 9:50AM EST,85.0,3.85,4.5,4.7,-0.55,-12.50%,1.0,298,34.38%,Call,2023-12-15,40
SONY231215C00086000,2023-12-06 12:42PM EST,86.0,3.59,3.5,3.8,0.0,-,2.0,9,31.69%,Call,2023-12-15,41
SONY231215C00087000,2023-12-07 10:00AM EST,87.0,2.5,2.65,2.85,1.05,+72.41%,1.0,28,26.95%,Call,2023-12-15,42
SONY231215C00088000,2023-12-07 11:02AM EST,88.0,1.15,1.8,2.0,0.0,-,8.0,57,23.61%,Call,2023-12-15,43
SONY231215C00089000,2023-12-08 10:33AM EST,89.0,1.25,1.2,1.35,0.3,+31.58%,7.0,17,22.56%,Call,2023-12-15,44
SONY231215C00090000,2023-12-08 10:13AM EST,90.0,0.65,0.7,0.8,0.13,+25.00%,17.0,786,21.00%,Call,2023-12-15,45
SONY231215C00091000,2023-12-08 10:38AM EST,91.0,0.4,0.35,0.45,0.2,+100.00%,4.0,22,20.56%,Call,2023-12-15,46
SONY231215C00092000,2023-12-06 11:22AM EST,92.0,0.25,0.15,0.25,0.0,-,1.0,4,20.80%,Call,2023-12-15,47
